Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Fernando Abad,-,-,F,1,2023,2023,0,1,0,1.000,4.26,6,0,2,0,0,0,6.1,11,3,3,2,3,0,2,0,0,0,32,122,abadfe01
2,Jose Acevedo,-,-,F,1,2005,2005,0,2,4,.333,6.47,36,5,7,0,0,1,64.0,86,48,46,13,16,3,31,1,1,0,292,74,acevejo01
3,Juan Acevedo,S,-,-,2,1995,2001,0,4,8,.333,6.17,56,11,14,0,0,0,97.2,119,77,67,19,39,8,66,7,1,2,444,87,aceveju01
4,Jeremy Affeldt,-,-,-,2,2006,2007,0,8,5,.615,4.59,102,0,20,0,0,1,86.1,78,49,44,7,46,12,66,4,1,6,381,106,affelje01
5,Scott Aldred,-,-,-,1,1993,1993,0,0,0,,10.80,5,0,1,0,0,0,6.2,10,10,8,1,9,1,5,1,0,1,40,46,aldresc01
6,Yency Almonte,S,-,-,4,2018,2021,0,4,4,.500,5.30,114,0,28,0,0,1,124.0,126,82,73,19,53,1,113,8,0,5,547,95,almonye01
7,Garvin Alston,S,C,F,1,1996,1996,0,1,0,1.000,9.00,6,0,4,0,0,0,6.0,9,6,6,1,3,0,5,1,0,1,30,61,alstoga01
8,Brett Anderson,-,-,-,1,2014,2014,0,1,3,.250,2.91,8,8,0,0,0,0,43.1,44,18,14,1,13,3,29,0,0,0,180,147,anderbr04
9,Chase Anderson,-,-,-,1,2023,2023,0,1,6,.143,5.75,17,17,0,0,0,0,81.1,88,53,52,17,32,0,62,7,0,1,354,86,anderch01
10,Matt Anderson,-,-,F,1,2005,2005,0,0,0,,12.60,12,0,6,0,0,0,10.0,19,17,14,3,11,0,4,2,0,0,62,39,anderma01
11,Tyler Anderson,S,-,-,4,2016,2019,0,18,24,.429,4.69,73,71,1,0,0,0,397.0,405,219,207,66,124,3,367,8,8,19,1683,104,anderty01
